,time,PVgen,netload,demand,normdemand
0,735781.0,-0.005,11.316,11.316,0.2612128067219132
1,735781.0006944445,-0.005,13.354,13.354,0.308256965444011
2,735781.0013888889,-0.005,12.565,12.565,0.29004408947161886
3,735781.0020833333,-0.005,9.59,9.59,0.2213706978139932
4,735781.0027777778,-0.004,7.85,7.85,0.18120542000415502
5,735781.0034722221,-0.004,7.197,7.197,0.16613189907896864
6,735781.0041666665,-0.005,9.026,9.026,0.20835160776528705
7,735781.004861111,-0.005,9.24,9.24,0.21329147526603728
8,735781.0055555556,-0.005,7.605,7.605,0.17554996422058589
9,735781.00625,-0.005,6.963,6.963,0.16073036171833524
10,735781.0069444444,-0.005,6.583,6.583,0.15195863438055449
11,735781.0076388889,-0.005,8.09,8.09,0.1867454583227534
12,735781.0083333333,-0.005,9.39,9.39,0.21675399921516125
13,735781.0090277778,-0.006,9.824,9.824,0.22677223517462664
14,735781.0097222222,-0.006,9.797,9.797,0.22614898086378432
15,735781.0104166665,-0.006,9.908,9.908,0.22871124858613606
16,735781.0111111111,-0.006,13.007,13.007,0.3002469933750375
17,735781.0118055554,-0.005,16.297,16.297,0.37619168532582353
18,735781.0124999998,-0.005,15.34,15.34,0.3541007825304125
19,735781.0131944446,-0.005,15.379,15.379,0.35500103875718475
20,735781.0138888889,-0.005,19.009,19.009,0.43879411832598514
21,735781.0145833332,-0.005,20.616,20.616,0.4758892915676
22,735781.0152777778,-0.005,24.198,24.198,0.5585743634726807
23,735781.0159722222,-0.005,21.823,21.823,0.503751067611551
24,735781.0166666667,-0.005,19.056,19.056,0.43987904249671067
25,735781.0173611111,-0.005,16.85,16.85,0.388956856951594
26,735781.0180555556,-0.005,13.021,13.021,0.30057016227695577
27,735781.01875,-0.005,10.136,10.136,0.2339742849888045
28,735781.0194444443,-0.005,6.062,6.062,0.1399321345305972
29,735781.0201388889,-0.005,5.255,5.255,0.12130375568431015
30,735781.0208333333,-0.005,6.275,6.275,0.14484891853835324
31,735781.021527778,-0.005,7.732,7.732,0.17848156783084418
32,735781.0222222221,-0.005,7.653,7.653,0.17665797188430554
33,735781.0229166667,-0.005,7.634,7.634,0.1762193855174165
34,735781.0236111111,-0.005,7.767,7.767,0.17928949008563977
35,735781.0243055555,-0.005,7.8,7.8,0.18005124535444703
36,735781.025,-0.005,7.796,7.796,0.17995891138247042
37,735781.0256944445,-0.005,6.743,6.743,0.15565199325962006
38,735781.026388889,-0.006,5.778,5.778,0.13337642252025575
39,735781.0270833332,-0.005,6.415,6.415,0.1480806075575356
40,735781.0277777779,-0.005,8.071,8.071,0.18630687195586437
41,735781.0284722222,-0.005,8.12,8.12,0.18743796311257818
42,735781.0291666666,-0.005,11.908,11.908,0.2748782345744558
43,735781.0298611111,-0.006,12.163,12.163,0.2807645252879666
44,735781.0305555556,-0.006,11.486,11.486,0.2651370005309204
45,735781.03125,-0.006,13.332,13.332,0.3077491285981395
46,735781.0319444444,-0.006,13.097,13.097,0.3023245077445119
47,735781.0326388889,-0.005,12.654,12.654,0.2920985203480991
48,735781.0333333333,-0.005,8.246,8.246,0.19034648322984235
49,735781.0340277778,-0.005,6.157,6.157,0.14212506636504235
50,735781.0347222221,-0.005,7.26,7.26,0.1675861591376007
51,735781.0354166665,-0.005,8.264,8.264,0.1907619861037372
52,735781.036111111,-0.005,7.307,7.307,0.16867108330832623
53,735781.0368055555,-0.005,7.261,7.261,0.16760924263059487
54,735781.0375,-0.005,7.07,7.07,0.16320029546871034
55,735781.0381944445,-0.005,7.152,7.152,0.16509314189423144
56,735781.0388888889,-0.005,6.637,6.637,0.15320514300223909
57,735781.0395833333,-0.005,4.22,4.22,0.09741234043535468
58,735781.0402777778,-0.005,3.703,3.703,0.08547817455737403
59,735781.0409722222,-0.005,3.574,3.574,0.0825004039611274
60,735781.0416666665,-0.005,3.663,3.663,0.08455483483760763
61,735781.0423611111,-0.005,5.077,5.077,0.1171948939313497
62,735781.0430555557,-0.005,6.208,6.208,0.14330232450774452
63,735781.0437499998,-0.005,6.52,6.52,0.1505043743219224
64,735781.0444444444,-0.005,9.205,9.205,0.21248355301124167
65,735781.0451388889,-0.005,9.365,9.365,0.21617691189030724
66,735781.0458333332,-0.005,11.042,11.042,0.25488792964151336
67,735781.0465277778,-0.005,12.796,12.796,0.2953763763532698
68,735781.0472222222,-0.005,11.162,11.162,0.25765794880081255
69,735781.0479166667,-0.005,9.831,9.831,0.22693381962558573
70,735781.0486111111,-0.005,8.5,8.5,0.19620969045035896
71,735781.0493055554,-0.005,8.74,8.74,0.20174972876895733
72,735781.05,-0.005,7.953,7.953,0.1835830197825535
73,735781.0506944446,-0.005,7.861,7.861,0.18145933842709078
74,735781.0513888889,-0.005,8.217,8.217,0.18967706193301173
75,735781.0520833333,-0.005,8.257,8.257,0.1906004016527781
76,735781.052777778,-0.005,8.184,8.184,0.18891530666420442
77,735781.0534722221,-0.005,6.169,6.169,0.14240206828097227
78,735781.0541666667,-0.005,4.263,4.263,0.09840493063410355
79,735781.0548611111,-0.005,7.218,7.218,0.166616652431846
80,735781.0555555556,-0.005,7.808,7.808,0.18023591329840033
