,time,PVgen,netload,demand,normdemand
0,735781.0,0.0,11.816,11.816,0.3279762400421906
1,735781.0006944445,0.0,9.661,9.661,0.2681599911177728
2,735781.0013888889,0.0,8.467,8.467,0.23501818080883782
3,735781.0020833333,0.0,7.784,7.784,0.21606017708940517
4,735781.0027777778,0.0,7.887,7.887,0.2189191439753518
5,735781.0034722221,0.0,7.975,7.975,0.22136175646043244
6,735781.0041666665,0.0,10.786,10.786,0.29938657118272405
7,735781.004861111,0.0,10.358,10.358,0.28750659227801373
8,735781.0055555556,0.0,9.684,9.684,0.26879840119910064
9,735781.00625,0.0,9.269,9.269,0.25727926277514085
10,735781.0069444444,0.0,9.155,9.155,0.2541149693285591
11,735781.0076388889,0.0,9.241,9.241,0.2565020678935243
12,735781.0083333333,0.0,9.241,9.241,0.2565020678935243
13,735781.0090277778,0.0,9.812,9.812,0.27235129208649067
14,735781.0097222222,0.0,13.289,13.289,0.36886224220723346
15,735781.0104166665,0.0,13.462,13.462,0.37366419629722153
16,735781.0111111111,0.0,15.408,15.408,0.4276792405695728
17,735781.0118055554,0.0,18.734,18.734,0.5199988897215977
18,735781.0124999998,0.0,20.117,20.117,0.5583867654814445
19,735781.0131944446,0.0,17.738,17.738,0.49235295750409414
20,735781.0138888889,0.0,18.163,18.163,0.5041496655286313
21,735781.0145833332,0.0,20.387,20.387,0.5658811446970328
22,735781.0152777778,0.0,21.348,21.348,0.5925555833125156
23,735781.0159722222,0.0,18.793,18.793,0.521636550365004
24,735781.0166666667,0.0,15.943,15.943,0.44252921420046076
25,735781.0173611111,0.0,13.781,13.781,0.3825186665556388
26,735781.0180555556,0.0,11.219,11.219,0.3114053348877231
27,735781.01875,0.0,9.489,9.489,0.26338579398784245
28,735781.0194444443,0.0,8.18,8.18,0.227051933272268
29,735781.0201388889,0.0,7.991,7.991,0.2218058678213562
30,735781.0208333333,0.0,7.852,7.852,0.2179476503733311
31,735781.021527778,0.0,7.564,7.564,0.2099536458767036
32,735781.0222222221,0.0,7.187,7.187,0.19948927193493768
33,735781.0229166667,0.0,7.023,7.023,0.1949371304854692
34,735781.0236111111,0.0,6.916,6.916,0.19196713575929164
35,735781.0243055555,0.0,6.797,6.797,0.1886640575124212
36,735781.025,0.0,6.667,6.667,0.18505565270491575
37,735781.0256944445,0.0,6.54,6.54,0.18153051877758347
38,735781.026388889,0.0,7.523,7.523,0.20881561051433645
39,735781.0270833332,0.0,11.078,11.078,0.3074916035195825
40,735781.0277777779,0.0,10.556,10.556,0.2930024703694451
41,735781.0284722222,0.0,10.837,10.837,0.3008021761456685
42,735781.0291666666,0.0,14.605,14.605,0.40539040164321205
43,735781.0298611111,0.0,13.431,13.431,0.3728037305354317
44,735781.0305555556,0.0,12.2,12.2,0.3386349127043606
45,735781.03125,0.0,10.846,10.846,0.3010519887861881
46,735781.0319444444,0.0,10.328,10.328,0.28667388347628164
47,735781.0326388889,0.0,11.494,11.494,0.3190384989036001
