,time,PVgen,netload,demand,normdemand
0,735781.0,0.0,5.079,5.079,0.1348323555177998
1,735781.0006944445,0.0,5.184,5.184,0.1376197934641217
2,735781.0013888889,0.0,5.18,5.18,0.13751360535188087
3,735781.0020833333,0.0,5.245,5.245,0.13923916217579443
4,735781.0027777778,0.0,5.352,5.352,0.14207969417823677
5,735781.0034722221,0.0,5.357,5.357,0.1422124293185378
6,735781.0041666665,0.0,5.217,5.217,0.1384958453901086
7,735781.004861111,0.0,4.996,4.996,0.1326289521888025
8,735781.0055555556,0.0,4.749,4.749,0.12607183625793092
9,735781.00625,0.0,4.551,4.551,0.12081552470200962
10,735781.0069444444,0.0,4.419,4.419,0.11731131699806206
11,735781.0076388889,0.0,4.866,4.866,0.12917783854097534
12,735781.0083333333,0.0,8.952,8.952,0.23764899519498794
13,735781.0090277778,0.0,10.451,10.451,0.27744299025724073
14,735781.0097222222,0.0,10.283,10.283,0.27298308954312567
15,735781.0104166665,0.0,10.146,10.146,0.26934614669887713
16,735781.0111111111,0.0,9.97,9.97,0.2646738697602804
17,735781.0118055554,0.0,9.854,9.854,0.26159441450529614
18,735781.0124999998,0.0,11.419,11.419,0.3031405134195227
19,735781.0131944446,0.0,8.822,8.822,0.23419788154716079
20,735781.0138888889,0.0,7.426,7.426,0.19713823037510952
21,735781.0145833332,0.0,7.079,7.079,0.1879264116382171
22,735781.0152777778,0.0,9.817,9.817,0.2606121744670684
23,735781.0159722222,0.0,10.297,10.297,0.2733547479359686
24,735781.0166666667,0.0,10.274,10.274,0.2727441662905838
25,735781.0173611111,0.0,10.399,10.399,0.2760625447981099
26,735781.0180555556,0.0,10.43,10.43,0.27688550266797635
27,735781.01875,0.0,10.447,10.447,0.2773368021449999
28,735781.0194444443,0.0,10.49,10.49,0.27847832435158887
29,735781.0201388889,0.0,7.877,7.877,0.20911094003026362
30,735781.0208333333,0.0,7.7,7.7,0.2044121160636067
31,735781.021527778,0.0,7.676,7.676,0.2037749873901617
32,735781.0222222221,0.0,9.24,9.24,0.24529453927632805
33,735781.0229166667,0.0,13.373,13.373,0.35501340624917044
34,735781.0236111111,0.0,12.665,12.665,0.3362181103825427
35,735781.0243055555,0.0,11.876,11.876,0.31527250524303807
36,735781.025,0.0,11.544,11.544,0.3064588919270488
37,735781.0256944445,0.0,6.975,6.975,0.1851655207199554
38,735781.026388889,0.0,5.497,5.497,0.145929013246967
39,735781.0270833332,0.0,4.183,4.183,0.11104621837585282
40,735781.0277777779,0.0,6.9,6.9,0.18317449361543978
41,735781.0284722222,0.0,7.848,7.848,0.20834107621651757
42,735781.0291666666,0.0,7.707,7.707,0.20459794526002814
43,735781.0298611111,0.0,7.69,7.69,0.20414664578300462
44,735781.0305555556,0.0,7.695,7.695,0.20427938092330566
45,735781.03125,0.0,7.695,7.695,0.20427938092330566
46,735781.0319444444,0.0,7.573,7.573,0.2010406434999602
47,735781.0326388889,0.0,5.968,5.968,0.1584326634633253
48,735781.0333333333,0.0,4.636,4.636,0.12307202208712736
49,735781.0340277778,0.0,3.795,3.795,0.10074597148849188
50,735781.0347222221,0.0,3.788,3.788,0.1005601422920704
51,735781.0354166665,0.0,2.718,2.718,0.07215482226764715
52,735781.036111111,0.0,2.373,2.373,0.06299609758687516
53,735781.0368055555,0.0,2.15,2.15,0.05707611032944862
54,735781.0375,0.0,2.045,2.045,0.054288672383126714
55,735781.0381944445,0.0,2.123,2.123,0.05635934057182299
56,735781.0388888889,0.0,2.182,2.182,0.0579256152273753
57,735781.0395833333,0.0,2.237,2.237,0.05938570177068678
58,735781.0402777778,0.0,2.244,2.244,0.059571530967108245
59,735781.0409722222,0.0,1.972,1.972,0.05235073933473148
60,735781.0416666665,0.0,1.936,1.936,0.051395046324563966
61,735781.0423611111,0.0,1.895,1.895,0.050306618174095416
62,735781.0430555557,0.0,1.836,1.836,0.0487403435185431
