,time,PVgen,netload,demand,normdemand
0,735781.0,-0.011,11.172,11.172,0.284021863480361
1,735781.0006944445,-0.011,11.341,11.341,0.28831829159781364
2,735781.0013888889,-0.011,10.752,10.752,0.2733443498156858
3,735781.0020833333,-0.011,11.344,11.344,0.2883945595525613
4,735781.0027777778,-0.011,10.564,10.564,0.26856489131816447
5,735781.0034722221,-0.008,10.151,10.153,0.2581161815177323
6,735781.0041666665,-0.004,10.167,10.172,0.25859921189780094
7,735781.004861111,-0.004,10.428,10.432,0.26520910130926656
8,735781.0055555556,0.0,11.172,11.179,0.2841998220414389
9,735781.00625,0.008,12.063,12.075,0.3069785178594127
10,735781.0069444444,0.008,11.934,11.946,0.3036989958052625
11,735781.0076388889,0.008,14.395,14.408,0.36628956400152535
12,735781.0083333333,0.006,14.11,14.12,0.358967840345748
13,735781.0090277778,0.004,11.8,11.808,0.3001906698868692
14,735781.0097222222,0.0,10.699,10.707,0.27220033049447057
15,735781.0104166665,0.0,10.72,10.727,0.27270878352612177
16,735781.0111111111,0.0,10.337,10.345,0.26299733062158387
17,735781.0118055554,-0.006,7.893,7.895,0.20071183424431166
18,735781.0124999998,-0.008,6.731,6.732,0.17114529045379434
19,735781.0131944446,-0.012,6.024,6.024,0.15314605313334181
20,735781.0138888889,-0.012,5.282,5.282,0.13428244565908223
21,735781.0145833332,-0.012,7.148,7.148,0.1817211135121393
22,735781.0152777778,-0.011,7.823,7.823,0.19888140333036736
23,735781.0159722222,-0.011,7.846,7.846,0.19946612431676625
24,735781.0166666667,-0.011,8.006,8.006,0.20353374856997586
25,735781.0173611111,-0.008,11.301,11.303,0.28735223083767636
26,735781.0180555556,-0.004,15.453,15.458,0.3929833481632134
27,735781.01875,-0.004,16.707,16.711,0.42483793059616115
28,735781.0194444443,-0.004,16.709,16.714,0.42491419855090884
29,735781.0201388889,-0.005,16.06,16.064,0.4083894750222448
30,735781.0208333333,-0.005,12.391,12.395,0.31511376636583194
31,735781.021527778,-0.005,11.695,11.699,0.29741960086437014
32,735781.0222222221,-0.007,8.308,8.31,0.2112622346510741
33,735781.0229166667,0.002,9.948,9.957,0.25313334180755054
34,735781.0236111111,0.001,9.535,9.543,0.24260836405237063
35,735781.0243055555,0.001,9.433,9.441,0.24001525359094955
36,735781.025,0.001,9.457,9.465,0.24062539722893098
37,735781.0256944445,0.001,9.836,9.844,0.2502605821787212
38,735781.026388889,-0.004,6.038,6.04,0.15355281555866276
39,735781.0270833332,-0.007,4.68,4.681,0.11900343205796364
40,735781.0277777779,-0.011,3.337,3.337,0.08483538833100293
41,735781.0284722222,-0.011,3.323,3.323,0.08447947120884708
42,735781.0291666666,-0.011,4.263,4.263,0.10837676369645353
43,735781.0298611111,-0.01,5.789,5.789,0.14717173001144018
44,735781.0305555556,-0.01,5.796,5.796,0.14734968857251812
45,735781.03125,-0.009,6.516,6.517,0.1656794203635439
