,time,PVgen,netload,demand,normdemand
0,735781.0,0.007,15.473,15.494,0.460158593448368
1,735781.0006944445,0.004,14.683,14.701,0.436607169374239
2,735781.0013888889,0.0,11.332,11.346,0.33696652906061597
3,735781.0020833333,-0.003,9.975,9.986,0.29657568827774644
4,735781.0027777778,-0.009,11.147,11.153,0.33123459356716467
5,735781.0034722221,-0.006,11.461,11.469,0.3406195242196549
6,735781.0041666665,-0.006,11.476,11.484,0.34106501143417184
7,735781.004861111,-0.007,11.346,11.353,0.3371744230940572
8,735781.0055555556,-0.007,11.438,11.445,0.3399067446764278
9,735781.00625,-0.006,11.466,11.474,0.34076801995782724
10,735781.0069444444,-0.007,13.184,13.193,0.39182085474146894
11,735781.0076388889,-0.008,15.277,15.285,0.4539514715927653
12,735781.0083333333,-0.008,16.237,16.246,0.4824923524694841
13,735781.0090277778,-0.008,17.846,17.855,0.530278281013335
14,735781.0097222222,-0.008,17.846,17.854,0.5302485818657005
15,735781.0104166665,-0.008,15.476,15.485,0.45989130111965787
16,735781.0111111111,-0.008,14.468,14.476,0.4299248611564848
17,735781.0118055554,-0.008,16.031,16.039,0.47634462890915036
18,735781.0124999998,-0.007,14.131,14.139,0.4199162484036708
19,735781.0131944446,-0.006,13.176,13.184,0.39155356241275874
20,735781.0138888889,-0.006,13.124,13.131,0.3899795075881322
21,735781.0145833332,-0.006,13.19,13.198,0.39196935047964127
22,735781.0152777778,-0.006,11.363,11.371,0.33770900775147755
23,735781.0159722222,-0.006,10.636,10.644,0.316117727421223
24,735781.0166666667,-0.006,8.043,8.05,0.2390781384574263
25,735781.0173611111,-0.016,6.287,6.287,0.1867185411778682
26,735781.0180555556,-0.016,6.277,6.277,0.18642154970152358
27,735781.01875,-0.016,6.163,6.163,0.1830358468711948
28,735781.0194444443,-0.016,6.152,6.152,0.1827091562472157
29,735781.0201388889,-0.014,4.099,4.101,0.12179620444893231
30,735781.0208333333,-0.003,6.484,6.495,0.1928959638858365
31,735781.021527778,-0.004,7.591,7.602,0.2257729203171869
32,735781.0222222221,-0.005,10.283,10.293,0.30569332660152654
33,735781.0229166667,-0.006,10.241,10.251,0.30444596240087907
34,735781.0236111111,-0.006,10.322,10.332,0.3068515933592706
35,735781.0243055555,-0.006,10.273,10.284,0.3054260342728164
36,735781.025,-0.012,7.973,7.977,0.2369101006801105
37,735781.0256944445,-0.015,7.43,7.431,0.22069436607169374
38,735781.026388889,-0.018,6.081,6.081,0.18060051676516886
39,735781.0270833332,-0.018,8.287,8.287,0.246116836446794
40,735781.0277777779,-0.017,9.247,9.247,0.27462801817587834
41,735781.0284722222,-0.017,9.191,9.191,0.27296486590834845
42,735781.0291666666,-0.018,8.94,8.94,0.26551037985209824
43,735781.0298611111,-0.019,7.157,7.157,0.2125567996198509
44,735781.0305555556,-0.018,3.547,3.547,0.10534287665943988
45,735781.03125,-0.019,2.975,2.975,0.0883549642125271
46,735781.0319444444,-0.015,3.05,3.053,0.09067149772801521
47,735781.0326388889,-0.007,3.649,3.657,0.10860978289923079
48,735781.0333333333,-0.007,3.541,3.55,0.10543197410234326
49,735781.0340277778,-0.007,3.536,3.544,0.10525377921653649
50,735781.0347222221,-0.007,3.543,3.552,0.1054913723976122
51,735781.0354166665,-0.007,3.583,3.591,0.10664963915535625
52,735781.036111111,-0.007,4.454,4.462,0.1325175967449734
53,735781.0368055555,-0.016,6.742,6.744,0.20029105164681774
54,735781.0375,-0.018,6.545,6.545,0.19438092126755963
55,735781.0381944445,-0.018,6.563,6.563,0.19491550592497994
56,735781.0388888889,-0.018,6.543,6.543,0.19432152297229072
57,735781.0395833333,-0.018,6.527,6.527,0.1938463366101393
58,735781.0402777778,-0.018,6.428,6.428,0.19090612099432747
59,735781.0409722222,-0.018,5.963,5.963,0.17709601734430222
60,735781.0416666665,-0.017,6.683,6.683,0.1984794036411155
61,735781.0423611111,-0.015,5.924,5.924,0.17593775058655817
62,735781.0430555557,-0.015,5.908,5.908,0.1754625642244068
63,735781.0437499998,-0.009,8.02,8.025,0.2383356597665647
64,735781.0444444444,-0.005,9.574,9.583,0.2846069317810579
65,735781.0451388889,-0.005,8.896,8.904,0.2644412105372576
66,735781.0458333332,-0.005,8.419,8.428,0.2503044162632533
67,735781.0465277778,-0.005,10.381,10.389,0.30854444477443493
68,735781.0472222222,-0.005,11.06,11.068,0.3287101660182353
69,735781.0479166667,-0.008,9.05,9.056,0.2689554809776959
70,735781.0486111111,-0.01,5.978,5.982,0.17766030114935702
71,735781.0493055554,-0.011,5.776,5.779,0.17163137417956104
72,735781.05,-0.013,5.558,5.559,0.16509756169997922
73,735781.0506944446,-0.013,5.509,5.509,0.16361260431825608
74,735781.0513888889,-0.014,5.603,5.603,0.16640432419589557
75,735781.0520833333,-0.017,9.313,9.314,0.2766178610673874
76,735781.052777778,-0.017,9.517,9.517,0.28264678803718335
77,735781.0534722221,-0.017,9.497,9.497,0.2820528050844941
78,735781.0541666667,-0.017,9.233,9.233,0.27421223010899587
79,735781.0548611111,-0.017,7.291,7.291,0.21653648540286896
80,735781.0555555556,-0.017,8.781,8.781,0.26078821537821867
81,735781.05625,-0.016,7.907,7.907,0.2348311603456981
82,735781.0569444444,-0.016,6.818,6.818,0.20248878857176797
83,735781.057638889,-0.015,5.964,5.964,0.1771257164919367
84,735781.0583333332,-0.018,5.441,5.441,0.16159306227911258
85,735781.0590277779,-0.014,3.693,3.694,0.10970865136170592
86,735781.0597222222,-0.014,3.248,3.248,0.09646283151673547
87,735781.0604166666,-0.014,2.954,2.954,0.0877312821122034
88,735781.0611111111,-0.014,3.216,3.216,0.09551245879243267
89,735781.0618055555,-0.014,3.44,3.44,0.10216506786255235
90,735781.0625,-0.014,3.618,3.618,0.10745151614148674
91,735781.0631944445,-0.014,6.271,6.271,0.1862433548157168
92,735781.0638888889,-0.014,6.479,6.479,0.19242077752368508
93,735781.0645833333,-0.015,6.413,6.413,0.19046063377981054
94,735781.0652777778,-0.015,6.377,6.377,0.18939146446496985
95,735781.0659722221,-0.015,5.319,5.319,0.15796976626770812
96,735781.0666666665,-0.016,7.842,7.843,0.23293041489709246
97,735781.067361111,-0.009,12.272,12.28,0.3647055329512043
98,735781.0680555556,-0.009,12.38,12.387,0.36788334174809184
99,735781.06875,-0.009,12.369,12.377,0.36758635027174724
100,735781.0694444444,-0.009,12.329,12.337,0.3663983843663687
101,735781.0701388889,-0.009,11.901,11.909,0.3536871491788186
102,735781.0708333333,-0.008,14.88,14.888,0.4421609099818835
103,735781.0715277778,-0.013,12.657,12.659,0.37596150990466576
104,735781.0722222222,-0.016,12.15,12.15,0.36084464375872416
105,735781.0729166665,-0.019,11.756,11.756,0.34914317959074576
106,735781.0736111111,-0.019,10.326,10.326,0.3066733984734638
107,735781.0743055554,-0.019,9.334,9.334,0.2772118440200766
108,735781.0749999998,-0.019,8.697,8.697,0.2582934869769237
