,time,PVgen,netload,demand,normdemand
0,735781.0,-0.014,9.987,9.987,0.23222881060341818
1,735781.0006944445,-0.015,10.401,10.401,0.2418555981862574
2,735781.0013888889,-0.016,10.778,10.778,0.250622020695268
3,735781.0020833333,-0.017,12.756,12.756,0.29661667247994417
4,735781.0027777778,-0.017,15.388,15.388,0.35781885827229387
5,735781.0034722221,-0.018,15.517,15.517,0.3608185094756423
6,735781.0041666665,-0.017,17.24,17.24,0.40088361818393203
7,735781.004861111,-0.017,19.488,19.488,0.45315660969654686
8,735781.0055555556,-0.016,19.113,19.113,0.4444366934077432
9,735781.00625,-0.015,19.52,19.52,0.45390070921985815
10,735781.0069444444,-0.014,23.777,23.777,0.5528891989303569
11,735781.0076388889,-0.014,21.729,21.729,0.5052668294384374
12,735781.0083333333,-0.014,18.019,18.019,0.4189977909545401
13,735781.0090277778,-0.014,16.386,16.386,0.38102546215556327
14,735781.0097222222,-0.014,16.164,16.164,0.3758632717125916
15,735781.0104166665,-0.014,19.646,19.646,0.4568306010928962
16,735781.0111111111,-0.016,20.142,20.142,0.4683641437042204
17,735781.0118055554,-0.017,18.721,18.721,0.43532147424718054
18,735781.0124999998,-0.017,20.979,20.979,0.4878269968608301
19,735781.0131944446,-0.017,17.293,17.293,0.4021160330194163
20,735781.0138888889,-0.017,12.903,12.903,0.3000348796651552
21,735781.0145833332,-0.016,12.445,12.445,0.28938495523776303
22,735781.0152777778,-0.015,11.82,11.82,0.2748517614230903
23,735781.0159722222,-0.015,11.509,11.509,0.2676200441809092
24,735781.0166666667,-0.014,11.05,11.05,0.25694686664341354
25,735781.0173611111,-0.014,10.982,10.982,0.25536565515637716
26,735781.0180555556,-0.014,11.015,11.015,0.25613300778979187
27,735781.01875,-0.014,11.133,11.133,0.25887687478200205
28,735781.0194444443,-0.015,11.174,11.174,0.25983025229624457
29,735781.0201388889,-0.015,11.018,11.018,0.2562027671201023
30,735781.0208333333,-0.015,11.083,11.083,0.25771421927682825
31,735781.021527778,-0.016,15.135,15.135,0.3519358214161144
32,735781.0222222221,-0.018,19.982,19.982,0.4646436460876642
33,735781.0229166667,-0.018,21.539,21.539,0.5008487385187769
34,735781.0236111111,-0.018,23.609,23.609,0.5489826764329729
35,735781.0243055555,-0.018,24.804,24.804,0.5767701430066271
36,735781.025,-0.018,23.599,23.599,0.5487501453319381
37,735781.0256944445,-0.017,24.723,24.723,0.5748866410882455
38,735781.026388889,-0.015,23.653,23.653,0.5500058132775258
39,735781.0270833332,-0.015,21.926,21.926,0.5098476921288222
40,735781.0277777779,-0.015,22.992,22.992,0.534635507499128
41,735781.0284722222,-0.016,21.803,21.803,0.5069875595860946
42,735781.0291666666,-0.015,18.727,18.727,0.4354609929078014
43,735781.0298611111,-0.015,16.019,16.019,0.37249157074758743
44,735781.0305555556,-0.015,13.16,13.16,0.30601092896174864
45,735781.03125,-0.015,11.46,11.46,0.26648064178583886
46,735781.0319444444,-0.016,11.93,11.93,0.2774096035344727
47,735781.0326388889,-0.018,12.463,12.463,0.2898035112196256
48,735781.0333333333,-0.018,12.423,12.423,0.2888733868154866
49,735781.0340277778,-0.018,12.433,12.433,0.2891059179165213
50,735781.0347222221,-0.018,12.362,12.362,0.2874549470991745
51,735781.0354166665,-0.018,12.345,12.345,0.2870596442274154
52,735781.036111111,-0.017,12.263,12.263,0.28515288919893034
53,735781.0368055555,-0.015,12.276,12.276,0.2854551796302755
54,735781.0375,-0.014,12.309,12.309,0.2862225322636902
55,735781.0381944445,-0.014,13.871,13.871,0.3225438902453203
56,735781.0388888889,-0.014,16.165,16.165,0.37588652482269497
57,735781.0395833333,-0.014,16.182,16.182,0.37628182769445406
58,735781.0402777778,-0.015,16.017,16.017,0.3724450645273805
59,735781.0409722222,-0.015,15.106,15.106,0.35126148122311357
60,735781.0416666665,-0.015,16.436,16.436,0.3821881176607371
61,735781.0423611111,-0.015,18.697,18.697,0.43476339960469707
62,735781.0430555557,-0.017,20.689,20.689,0.481083594930822
63,735781.0437499998,-0.017,16.951,16.951,0.3941634693640274
64,735781.0444444444,-0.017,21.383,21.383,0.4972212533426345
65,735781.0451388889,-0.017,22.948,22.948,0.533612370654575
66,735781.0458333332,-0.017,23.747,23.747,0.5521916056272526
67,735781.0465277778,-0.018,21.56,21.56,0.5013370538309498
68,735781.0472222222,-0.016,18.892,18.892,0.439297756074875
69,735781.0479166667,-0.014,13.891,13.891,0.3230089524473898
70,735781.0486111111,-0.014,11.432,11.432,0.2658295547029415
71,735781.0493055554,-0.014,9.847,9.847,0.2289733751889315
72,735781.05,-0.015,10.548,10.548,0.24527380537146842
73,735781.0506944446,-0.015,10.615,10.615,0.24683176374840135
74,735781.0513888889,-0.015,10.126,10.126,0.2354609929078014
75,735781.0520833333,-0.015,9.784,9.784,0.22750842925241252
76,735781.052777778,-0.015,9.55,9.55,0.22206720148819906
77,735781.0534722221,-0.015,9.214,9.214,0.214254156493431
78,735781.0541666667,-0.017,9.755,9.755,0.22683408905941171
79,735781.0548611111,-0.018,10.369,10.369,0.24111149866294615
80,735781.0555555556,-0.017,9.159,9.159,0.2129752354377398
81,735781.05625,-0.018,8.601,8.601,0.2
82,735781.0569444444,-0.018,8.19,8.19,0.1904429717474712
83,735781.057638889,-0.018,6.94,6.94,0.1613765841181258
84,735781.0583333332,-0.015,5.451,5.451,0.12675270317404952
85,735781.0590277779,-0.014,8.656,8.656,0.2012789210556912
86,735781.0597222222,-0.014,8.971,8.971,0.20860365073828624
87,735781.0604166666,-0.014,9.404,9.404,0.2186722474130915
88,735781.0611111111,-0.014,9.698,9.698,0.22550866178351353
89,735781.0618055555,-0.014,12.127,12.127,0.28199046622485757
90,735781.0625,-0.015,15.08,15.08,0.3506569003604232
91,735781.0631944445,-0.015,18.981,18.981,0.44136728287408444
92,735781.0638888889,-0.015,18.548,18.548,0.4312986861992791
93,735781.0645833333,-0.015,17.527,17.527,0.4075572607836298
94,735781.0652777778,-0.017,17.304,17.304,0.40237181723055454
95,735781.0659722221,-0.017,15.134,15.134,0.3519125683060109
96,735781.0666666665,-0.018,13.683,13.683,0.31817230554586673
97,735781.067361111,-0.018,10.613,10.613,0.24678525752819436
98,735781.0680555556,-0.018,9.253,9.253,0.21516102778746657
99,735781.06875,-0.018,8.53,8.53,0.19834902918265315
100,735781.0694444444,-0.017,7.777,7.777,0.18083943727473548
