,time,PVgen,netload,demand,normdemand
0,735781.0,0.019,14.533,14.554,0.4625015889157239
1,735781.0006944445,0.016,14.057,14.075,0.44727977628066606
2,735781.0013888889,0.012,12.09,12.104,0.38464471844413367
3,735781.0020833333,0.009,11.099,11.11,0.3530570738528028
4,735781.0027777778,0.003,8.858,8.864,0.2816829795347655
5,735781.0034722221,0.006,5.891,5.899,0.18746027710690225
6,735781.0041666665,0.006,5.537,5.545,0.17621075378161943
7,735781.004861111,0.005,4.976,4.983,0.15835134104487097
8,735781.0055555556,0.005,4.424,4.431,0.14080971145290455
9,735781.00625,0.006,4.178,4.186,0.1330240244057455
10,735781.0069444444,0.006,4.071,4.08,0.12965552307105632
11,735781.0076388889,0.006,4.138,4.146,0.1317528918266175
12,735781.0083333333,0.006,4.212,4.221,0.13413626541248252
13,735781.0090277778,0.006,4.049,4.058,0.1289564001525359
14,735781.0097222222,0.004,7.683,7.691,0.24440701665183678
15,735781.0104166665,0.004,7.791,7.8,0.24787085292996058
16,735781.0111111111,0.004,7.98,7.988,0.25384517605186224
17,735781.0118055554,0.004,8.107,8.115,0.25788102199059365
18,735781.0124999998,0.004,7.855,7.863,0.2498728867420872
19,735781.0131944446,0.004,6.82,6.828,0.21698233125715014
20,735781.0138888889,0.006,6.151,6.158,0.19569086055675608
21,735781.0145833332,0.006,8.948,8.956,0.28460658446675985
22,735781.0152777778,0.006,8.884,8.892,0.28257277234015504
23,735781.0159722222,0.006,8.881,8.889,0.28247743739672043
24,735781.0166666667,0.006,8.868,8.875,0.2820325409940257
25,735781.0173611111,-0.004,7.966,7.966,0.2531460531333418
26,735781.0180555556,-0.004,7.334,7.334,0.23306215838311936
27,735781.01875,-0.004,6.686,6.686,0.2124698106012457
28,735781.0194444443,-0.004,3.321,3.321,0.10553578238210246
29,735781.0201388889,-0.002,3.698,3.7,0.11757976356934029
30,735781.0208333333,0.009,6.092,6.103,0.19394305326045505
31,735781.021527778,0.009,6.102,6.113,0.1942608364052371
32,735781.0222222221,0.009,6.101,6.111,0.19419727977628065
33,735781.0229166667,0.008,6.017,6.027,0.19152790136011186
34,735781.0236111111,0.006,9.322,9.332,0.2965552307105631
35,735781.0243055555,0.006,9.63,9.641,0.30637472988432696
36,735781.025,0.0,7.491,7.495,0.23817846701410958
37,735781.0256944445,-0.003,6.992,6.993,0.22222575314605314
38,735781.026388889,-0.006,8.969,8.969,0.28501970255497644
39,735781.0270833332,-0.006,8.112,8.112,0.25778568704715904
40,735781.0277777779,-0.004,7.549,7.549,0.23989449599593238
41,735781.0284722222,-0.003,7.339,7.339,0.23322104995551038
42,735781.0291666666,-0.005,7.374,7.374,0.23433329096224736
43,735781.0298611111,-0.006,10.124,10.124,0.3217236557772976
44,735781.0305555556,-0.006,10.357,10.357,0.32912800305071815
45,735781.03125,-0.006,9.87,9.87,0.31365196389983474
46,735781.0319444444,-0.002,9.73,9.733,0.30929833481632135
47,735781.0326388889,0.006,9.656,9.664,0.30710563111732553
48,735781.0333333333,0.006,7.608,7.617,0.24205542138044997
49,735781.0340277778,0.006,7.489,7.497,0.23824202364306596
50,735781.0347222221,0.006,5.875,5.884,0.18698360238972925
51,735781.0354166665,0.006,4.162,4.17,0.1325155713740943
52,735781.036111111,0.006,4.257,4.265,0.13553451124952332
53,735781.0368055555,-0.001,3.361,3.363,0.10687047159018685
54,735781.0375,-0.004,6.142,6.142,0.19518240752510488
55,735781.0381944445,-0.005,6.837,6.837,0.2172683360874539
56,735781.0388888889,-0.005,6.801,6.801,0.21612431676623872
57,735781.0395833333,-0.005,7.703,7.703,0.2447883564255752
58,735781.0402777778,-0.005,7.872,7.872,0.250158891572391
59,735781.0409722222,-0.005,5.713,5.713,0.18154951061395705
60,735781.0416666665,-0.003,4.938,4.938,0.15692131689335198
61,735781.0423611111,-0.003,4.941,4.941,0.15701665183678656
62,735781.0430555557,-0.003,4.935,4.935,0.15682598194991737
63,735781.0437499998,0.003,6.706,6.711,0.21326426846320073
64,735781.0444444444,0.007,6.763,6.772,0.21520274564637093
